GeneID,Term,Type,Description
CLB1,GO:0005783,CC,Endoplasmic reticulum
CLB1,GO:0008289,MF,Lipid binding
Wiv-1,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
Wiv-1,GO:0005975,BP,Carbohydrate metabolic process
GA3ox1,GO:0009416,BP,Response to light stimulus
GA3ox1,GO:0009686,BP,Gibberellin biosynthetic process
GA3ox1,GO:0016707,MF,Gibberellin 3-beta-dioxygenase activity
3OH-2,GO:0009416,BP,Response to light stimulus
3OH-2,GO:0009686,BP,Gibberellin biosynthetic process
3OH-2,GO:0016707,MF,Gibberellin 3-beta-dioxygenase activity
Mdip1,GO:0005618,CC,Cell wall
Mdip1,GO:0009506,CC,Plasmodesma
Mdip1,GO:0010497,BP,Plasmodesmata-mediated intercellular transport
Mdip1,GO:0030145,MF,Manganese ion binding
Mdip1,GO:2000280,BP,Regulation of root development
ArcA1,GO:0001934,BP,Positive regulation of protein phosphorylation
ArcA1,GO:0005080,MF,Protein kinase C binding
ArcA1,GO:0005634,CC,Nucleus
ArcA1,GO:0005829,CC,Cytosol
ArcA1,GO:0043022,MF,Ribosome binding
ArcA1,GO:0045182,MF,Translation regulator activity
ArcA1,GO:0072344,BP,Rescue of stalled ribosome
ArcA2,GO:0001934,BP,Positive regulation of protein phosphorylation
ArcA2,GO:0005080,MF,Protein kinase C binding
ArcA2,GO:0005634,CC,Nucleus
ArcA2,GO:0005829,CC,Cytosol
ArcA2,GO:0043022,MF,Ribosome binding
ArcA2,GO:0045182,MF,Translation regulator activity
ArcA2,GO:0072344,BP,Rescue of stalled ribosome
PAP1,GO:0003993,MF,Acid phosphatase activity
PAP1,GO:0046872,MF,Metal ion binding
LOC543511,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
LOC543511,GO:0005618,CC,Cell wall
LOC543511,GO:0010411,BP,Xyloglucan metabolic process
LOC543511,GO:0016762,MF,Xyloglucan:xyloglucosyl transferase activity
LOC543511,GO:0042546,BP,Cell wall biogenesis
LOC543511,GO:0048046,CC,Apoplast
copz1,GO:0006886,BP,Intracellular protein transport
copz1,GO:0006890,BP,Retrograde vesicle-mediated transport; Golgi to endoplasmic reticulum
copz1,GO:0006891,BP,Intra-Golgi vesicle-mediated transport
copz1,GO:0030126,CC,COPI vesicle coat
copz2,GO:0006886,BP,Intracellular protein transport
copz2,GO:0006890,BP,Retrograde vesicle-mediated transport; Golgi to endoplasmic reticulum
copz2,GO:0006891,BP,Intra-Golgi vesicle-mediated transport
copz2,GO:0030126,CC,COPI vesicle coat
XYL1,GO:0009044,MF,Xylan 1;4-beta-xylosidase activity
XYL1,GO:0009505,CC,Plant-type cell wall
XYL1,GO:0031222,BP,Arabinan catabolic process
XYL1,GO:0045493,BP,Xylan catabolic process
XYL1,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
LOC543515,GO:0009044,MF,Xylan 1;4-beta-xylosidase activity
LOC543515,GO:0009505,CC,Plant-type cell wall
LOC543515,GO:0031222,BP,Arabinan catabolic process
LOC543515,GO:0045493,BP,Xylan catabolic process
LOC543515,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
sps,GO:0005985,BP,Sucrose metabolic process
sps,GO:0016157,MF,Sucrose synthase activity
sps,GO:0046524,MF,Sucrose-phosphate synthase activity
LOC543517,GO:0046373,BP,L-arabinose metabolic process
LOC543517,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
EIL4,GO:0003677,MF,DNA binding
EIL4,GO:0003700,MF,DNA-binding transcription factor activity
EIL4,GO:0005634,CC,Nucleus
T6,GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding
T6,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
T6,GO:0005634,CC,Nucleus
T6,GO:0006357,BP,Regulation of transcription by RNA polymerase II
T12,GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding
T12,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
T12,GO:0005634,CC,Nucleus
T12,GO:0006357,BP,Regulation of transcription by RNA polymerase II
ME2,GO:0004473,MF,Malate dehydrogenase (decarboxylating) (NADP+) activity
ME2,GO:0006090,BP,Pyruvate metabolic process
ME2,GO:0006108,BP,Malate metabolic process
ME2,GO:0009507,CC,Chloroplast
ME2,GO:0051287,MF,NAD binding
LOC543525,GO:0016020,CC,Membrane
LOC543525,GO:0033179,CC,Proton-transporting V-type ATPase; V0 domain
LOC543525,GO:0046961,MF,Proton-transporting ATPase activity; rotational mechanism
LOC543525,GO:1902600,BP,Proton transmembrane transport
JA2,GO:0003677,MF,DNA binding
JA2,GO:0006355,BP,Regulation of DNA-templated transcription
JA2,GO:0048731,BP,System development
LEJA1,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
LEJA1,GO:0005634,CC,Nucleus
LEJA1,GO:0043565,MF,Sequence-specific DNA binding
LEJA1,GO:0045893,BP,Positive regulation of DNA-templated transcription
AAP3,GO:0003333,BP,Amino acid transmembrane transport
AAP3,GO:0015171,MF,Amino acid transmembrane transporter activity
AAP3,GO:0016020,CC,Membrane
AAP1,GO:0003333,BP,Amino acid transmembrane transport
AAP1,GO:0015171,MF,Amino acid transmembrane transporter activity
AAP1,GO:0016020,CC,Membrane
ProT1,GO:0003333,BP,Amino acid transmembrane transport
ProT1,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT1,GO:0016020,CC,Membrane
ProT2,GO:0003333,BP,Amino acid transmembrane transport
ProT2,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT2,GO:0016020,CC,Membrane
ProT3,GO:0003333,BP,Amino acid transmembrane transport
ProT3,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT3,GO:0016020,CC,Membrane
OPT1,GO:0006857,BP,Oligopeptide transport
OPT1,GO:0009705,CC,Plant-type vacuole membrane
OPT1,GO:0022857,MF,Transmembrane transporter activity
OPT1,GO:0055085,BP,Transmembrane transport
MSI1,GO:0005634,CC,Nucleus
MSI1,GO:0006338,BP,Chromatin remodeling
MSI1,GO:0006355,BP,Regulation of DNA-templated transcription
MSI1,GO:0031491,MF,Nucleosome binding
MSI1,GO:0042393,MF,Histone binding
Kap-alpha1,GO:0005515,MF,Protein binding
Kap-alpha1,GO:0005634,CC,Nucleus
Kap-alpha1,GO:0005737,CC,Cytoplasm
Kap-alpha1,GO:0006607,BP,NLS-bearing protein import into nucleus
Kap-alpha1,GO:0008139,MF,Nuclear localization sequence binding
Kap-alpha1,GO:0061608,MF,Nuclear import signal receptor activity
GSH1,GO:0004357,MF,Glutamate-cysteine ligase activity
GSH1,GO:0006750,BP,Glutathione biosynthetic process
GSH1,GO:0042398,BP,Modified amino acid biosynthetic process
GSH2,GO:0004363,MF,Glutathione synthase activity
GSH2,GO:0005524,MF,ATP binding
GSH2,GO:0005829,CC,Cytosol
GSH2,GO:0006750,BP,Glutathione biosynthetic process
GSH2,GO:0043295,MF,Glutathione binding
IAA3,GO:0005515,MF,Protein binding
IAA3,GO:0005634,CC,Nucleus
IAA3,GO:0006355,BP,Regulation of DNA-templated transcription
IAA27,GO:0005515,MF,Protein binding
IAA27,GO:0005634,CC,Nucleus
IAA27,GO:0006355,BP,Regulation of DNA-templated transcription
IAA7,GO:0005515,MF,Protein binding
IAA7,GO:0005634,CC,Nucleus
IAA7,GO:0006355,BP,Regulation of DNA-templated transcription
IAA16,GO:0005515,MF,Protein binding
IAA16,GO:0005634,CC,Nucleus
IAA16,GO:0006355,BP,Regulation of DNA-templated transcription
IAA17,GO:0005515,MF,Protein binding
IAA17,GO:0005634,CC,Nucleus
IAA17,GO:0006355,BP,Regulation of DNA-templated transcription
PT2,GO:0005315,MF,Phosphate transmembrane transporter activity
PT2,GO:0006817,BP,Phosphate ion transport
PT2,GO:0016020,CC,Membrane
PT2,GO:0055085,BP,Transmembrane transport
COP1,GO:0005515,MF,Protein binding
COP1,GO:0043161,BP,Proteasome-mediated ubiquitin-dependent protein catabolic process
COP1,GO:0061630,MF,Ubiquitin protein ligase activity
LOC543548,GO:0003855,MF,3-dehydroquinate dehydratase activity
LOC543548,GO:0004764,MF,Shikimate 3-dehydrogenase (NADP+) activity
LOC543548,GO:0009423,BP,Chorismate biosynthetic process
LOC543548,GO:0019632,BP,Shikimate metabolic process
LOC543548,GO:0050661,MF,NADP binding
SSTLE1,GO:0000287,MF,Magnesium ion binding
SSTLE1,GO:0010333,MF,Terpene synthase activity
SSTLE1,GO:0016102,BP,Diterpenoid biosynthetic process
FPPS1,GO:0004161,MF,Dimethylallyltranstransferase activity
FPPS1,GO:0004337,MF,Geranyltranstransferase activity
FPPS1,GO:0005737,CC,Cytoplasm
FPPS1,GO:0045337,BP,Farnesyl diphosphate biosynthetic process
GA20ox1,GO:0009416,BP,Response to light stimulus
GA20ox1,GO:0009686,BP,Gibberellin biosynthetic process
GA20ox1,GO:0009826,BP,Unidimensional cell growth
GA20ox1,GO:0009908,BP,Flower development
GA20ox1,GO:0045544,MF,Gibberellin 20-oxidase activity
LCA1,GO:0005388,MF,P-type calcium transporter activity
LCA1,GO:0005524,MF,ATP binding
LCA1,GO:0006874,BP,Intracellular calcium ion homeostasis
LCA1,GO:0016020,CC,Membrane
LCA1,GO:0016887,MF,ATP hydrolysis activity
LCA1,GO:0070588,BP,Calcium ion transmembrane transport
EXPA3,GO:0005576,CC,Extracellular region
EXPA3,GO:0009664,BP,Plant-type cell wall organization
EXPA4,GO:0005576,CC,Extracellular region
EXPA4,GO:0009664,BP,Plant-type cell wall organization
EXP5,GO:0005576,CC,Extracellular region
EXP5,GO:0009664,BP,Plant-type cell wall organization
cel5,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
cel5,GO:0005975,BP,Carbohydrate metabolic process
LOC543561,GO:0004674,MF,Protein serine/threonine kinase activity
LOC543561,GO:0005524,MF,ATP binding
LOC543561,GO:0006468,BP,Protein phosphorylation
TFT6,GO:0005737,CC,Cytoplasm
TFT6,GO:0007165,BP,Signal transduction
TFT6,GO:0008104,BP,Protein localization
AN35,GO:0005509,MF,Calcium ion binding
AN35,GO:0005544,MF,Calcium-dependent phospholipid binding
AN35,GO:0005737,CC,Cytoplasm
AN35,GO:0005829,CC,Cytosol
AN34,GO:0005509,MF,Calcium ion binding
AN34,GO:0005544,MF,Calcium-dependent phospholipid binding
AN34,GO:0005737,CC,Cytoplasm
LOC543565,GO:0005737,CC,Cytoplasm
LOC543565,GO:0007165,BP,Signal transduction
LOC543565,GO:0008104,BP,Protein localization
LOC543567,GO:0004672,MF,Protein kinase activity
LOC543567,GO:0005515,MF,Protein binding
LOC543567,GO:0005524,MF,ATP binding
LOC543567,GO:0006468,BP,Protein phosphorylation
LOC543567,GO:0009742,BP,Brassinosteroid mediated signaling pathway
LOC543570,GO:0004869,MF,Cysteine-type endopeptidase inhibitor activity
RBOH1,GO:0004601,MF,Peroxidase activity
RBOH1,GO:0005509,MF,Calcium ion binding
RBOH1,GO:0005886,CC,Plasma membrane
RBOH1,GO:0016174,MF,NAD(P)H oxidase H2O2-forming activity
HSP17.4,GO:0006457,BP,Protein folding
HSP17.4,GO:0009408,BP,Response to heat
HSP17.4,GO:0009651,BP,Response to salt stress
HSP17.4,GO:0042542,BP,Response to hydrogen peroxide
HSP17.4,GO:0051082,MF,Unfolded protein binding
HSP17.4,GO:0051259,BP,Protein complex oligomerization
ER43,GO:0003924,MF,GTPase activity
ER43,GO:0005525,MF,GTP binding
ER43,GO:0005886,CC,Plasma membrane
ER43,GO:0006904,BP,Vesicle docking involved in exocytosis
ER43,GO:0009306,BP,Protein secretion
ER43,GO:0017157,BP,Regulation of exocytosis
ER43,GO:0043231,CC,Intracellular membrane-bounded organelle
ER66,GO:0003690,MF,Double-stranded DNA binding
ER66,GO:0003712,MF,Transcription coregulator activity
ER66,GO:0005515,MF,Protein binding
ER66,GO:0005634,CC,Nucleus
ER66,GO:0006357,BP,Regulation of transcription by RNA polymerase II
LOC543581,GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding
LOC543581,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
LOC543581,GO:0005634,CC,Nucleus
LOC543581,GO:0006357,BP,Regulation of transcription by RNA polymerase II
LOC543581,GO:0046983,MF,Protein dimerization activity
EXP2,GO:0005576,CC,Extracellular region
EXP2,GO:0009664,BP,Plant-type cell wall organization
Cel8,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
Cel8,GO:0005975,BP,Carbohydrate metabolic process
Cel8,GO:0030246,MF,Carbohydrate binding
Ls,GO:0003700,MF,DNA-binding transcription factor activity
Ls,GO:0005634,CC,Nucleus
Ls,GO:0006355,BP,Regulation of DNA-templated transcription
Ls,GO:0010014,BP,Meristem initiation
Ls,GO:0043565,MF,Sequence-specific DNA binding
CAT2,GO:0004096,MF,Catalase activity
CAT2,GO:0005737,CC,Cytoplasm
CAT2,GO:0020037,MF,Heme binding
CAT2,GO:0042542,BP,Response to hydrogen peroxide
CAT2,GO:0042744,BP,Hydrogen peroxide catabolic process
MAF1,GO:0000278,BP,Mitotic cell cycle
MAF1,GO:0048527,BP,Lateral root development
PGcat,GO:0004650,MF,Polygalacturonase activity
PGcat,GO:0005975,BP,Carbohydrate metabolic process
ETR4,GO:0000155,MF,Phosphorelay sensor kinase activity
ETR4,GO:0000160,BP,Phosphorelay signal transduction system
ETR4,GO:0005515,MF,Protein binding
ETR4,GO:0005783,CC,Endoplasmic reticulum
ETR4,GO:0005789,CC,Endoplasmic reticulum membrane
ETR4,GO:0009723,BP,Response to ethylene
ETR4,GO:0038199,MF,Ethylene receptor activity
ETR4,GO:0051740,MF,Ethylene binding
ETR5,GO:0000155,MF,Phosphorelay sensor kinase activity
ETR5,GO:0000160,BP,Phosphorelay signal transduction system
ETR5,GO:0005515,MF,Protein binding
ETR5,GO:0005783,CC,Endoplasmic reticulum
ETR5,GO:0005789,CC,Endoplasmic reticulum membrane
ETR5,GO:0009723,BP,Response to ethylene
ETR5,GO:0038199,MF,Ethylene receptor activity
ETR5,GO:0051740,MF,Ethylene binding
AMT1-3,GO:0005886,CC,Plasma membrane
AMT1-3,GO:0008519,MF,Ammonium channel activity
AMT1-3,GO:0072488,BP,Ammonium transmembrane transport
AMT1-3,GO:0097272,BP,Ammonium homeostasis
CRY2,GO:0003677,MF,DNA binding
CRY2,GO:0003904,MF,Deoxyribodipyrimidine photo-lyase activity
CRY2,GO:0005634,CC,Nucleus
CRY2,GO:0005737,CC,Cytoplasm
CRY2,GO:0009785,BP,Blue light signaling pathway
CRY2,GO:0009882,MF,Blue light photoreceptor activity
CRY2,GO:0032922,BP,Circadian regulation of gene expression
CRY2,GO:0043153,BP,Entrainment of circadian clock by photoperiod
CRY2,GO:0071949,MF,FAD binding
LOC543597,GO:0005385,MF,Zinc ion transmembrane transporter activity
LOC543597,GO:0005886,CC,Plasma membrane
LOC543597,GO:0071577,BP,Zinc ion transmembrane transport
LOC543598,GO:0005385,MF,Zinc ion transmembrane transporter activity
LOC543598,GO:0005886,CC,Plasma membrane
LOC543598,GO:0071577,BP,Zinc ion transmembrane transport
XOPG1,GO:0004650,MF,Polygalacturonase activity
XOPG1,GO:0005975,BP,Carbohydrate metabolic process
LOC543600,GO:0003700,MF,DNA-binding transcription factor activity
LOC543600,GO:0006351,BP,DNA-templated transcription
LOC543600,GO:0006355,BP,Regulation of DNA-templated transcription
LOC543600,GO:0043565,MF,Sequence-specific DNA binding
Prg1,GO:0005634,CC,Nucleus
Prg1,GO:0009611,BP,Response to wounding
Prg1,GO:0031347,BP,Regulation of defense response
Prg1,GO:2000022,BP,Regulation of jasmonic acid mediated signaling pathway
LOC543602,GO:0008270,MF,Zinc ion binding
LOC543602,GO:0009809,BP,Lignin biosynthetic process
LOC543602,GO:0045551,MF,Cinnamyl-alcohol dehydrogenase activity
Wfi1,GO:0004601,MF,Peroxidase activity
Wfi1,GO:0005509,MF,Calcium ion binding
Wfi1,GO:0005886,CC,Plasma membrane
Wfi1,GO:0016174,MF,NAD(P)H oxidase H2O2-forming activity
LOC543605,GO:0004411,MF,Homogentisate 1;2-dioxygenase activity
LOC543605,GO:0005737,CC,Cytoplasm
LOC543605,GO:0006559,BP,L-phenylalanine catabolic process
LOC543605,GO:0006570,BP,Tyrosine metabolic process
TIM10,GO:0005743,CC,Mitochondrial inner membrane
TIM10,GO:0045039,BP,Protein insertion into mitochondrial inner membrane
TBG2,GO:0004565,MF,Beta-galactosidase activity
TBG2,GO:0005618,CC,Cell wall
TBG2,GO:0005773,CC,Vacuole
TBG2,GO:0005975,BP,Carbohydrate metabolic process
TBG2,GO:0030246,MF,Carbohydrate binding
TBG3,GO:0004565,MF,Beta-galactosidase activity
TBG3,GO:0005618,CC,Cell wall
TBG3,GO:0005773,CC,Vacuole
TBG3,GO:0005975,BP,Carbohydrate metabolic process
TBG3,GO:0030246,MF,Carbohydrate binding
TBG7,GO:0004565,MF,Beta-galactosidase activity
TBG7,GO:0005618,CC,Cell wall
TBG7,GO:0005773,CC,Vacuole
TBG7,GO:0005975,BP,Carbohydrate metabolic process
TBG7,GO:0030246,MF,Carbohydrate binding
TBG5,GO:0004565,MF,Beta-galactosidase activity
TBG5,GO:0005618,CC,Cell wall
TBG5,GO:0005773,CC,Vacuole
TBG5,GO:0005975,BP,Carbohydrate metabolic process
TBG5,GO:0030246,MF,Carbohydrate binding
TBG6,GO:0004565,MF,Beta-galactosidase activity
TBG6,GO:0005618,CC,Cell wall
TBG6,GO:0005773,CC,Vacuole
TBG6,GO:0005975,BP,Carbohydrate metabolic process
TBG6,GO:0030246,MF,Carbohydrate binding
SUT2,GO:0008506,MF,Sucrose:proton symporter activity
SUT2,GO:0016020,CC,Membrane
SUT2,GO:0055085,BP,Transmembrane transport
CYP1,GO:0004197,MF,Cysteine-type endopeptidase activity
CYP1,GO:0005615,CC,Extracellular space
CYP1,GO:0005764,CC,Lysosome
CYP1,GO:0051603,BP,Proteolysis involved in protein catabolic process
sig1,GO:0005634,CC,Nucleus
sig1,GO:0032875,BP,Regulation of DNA endoreduplication
csn5,GO:0000338,BP,Protein deneddylation
csn5,GO:0005515,MF,Protein binding
csn5,GO:0005737,CC,Cytoplasm
csn5,GO:0008180,CC,COP9 signalosome
csn5,GO:0008237,MF,Metallopeptidase activity
csn5,GO:0019784,MF,DeNEDDylase activity
lanceolate,GO:0003700,MF,DNA-binding transcription factor activity
lanceolate,GO:0005634,CC,Nucleus
lanceolate,GO:0043565,MF,Sequence-specific DNA binding
lanceolate,GO:2000032,BP,Regulation of secondary shoot formation
bZIP1,GO:0000976,MF,Transcription cis-regulatory region binding
bZIP1,GO:0003700,MF,DNA-binding transcription factor activity
bZIP1,GO:0005634,CC,Nucleus
bZIP1,GO:0045893,BP,Positive regulation of DNA-templated transcription
XET2,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
XET2,GO:0005618,CC,Cell wall
XET2,GO:0010411,BP,Xyloglucan metabolic process
XET2,GO:0016762,MF,Xyloglucan:xyloglucosyl transferase activity
XET2,GO:0042546,BP,Cell wall biogenesis
XET2,GO:0048046,CC,Apoplast
SUT4,GO:0005773,CC,Vacuole
SUT4,GO:0005886,CC,Plasma membrane
SUT4,GO:0008506,MF,Sucrose:proton symporter activity
SUT4,GO:0015770,BP,Sucrose transport
ACS7,GO:0006520,BP,Amino acid metabolic process
ACS7,GO:0008483,MF,Transaminase activity
ACS7,GO:0009058,BP,Biosynthetic process
ACS7,GO:0030170,MF,Pyridoxal phosphate binding
TMP,GO:0004252,MF,Serine-type endopeptidase activity
TMP,GO:0006508,BP,Proteolysis
TAL,GO:0004801,MF,Transaldolase activity
TAL,GO:0005622,CC,Intracellular anatomical structure
TAL,GO:0005737,CC,Cytoplasm
TAL,GO:0005975,BP,Carbohydrate metabolic process
TAL,GO:0006098,BP,Pentose-phosphate shunt
EXPA8,GO:0005576,CC,Extracellular region
EXPA8,GO:0009664,BP,Plant-type cell wall organization
EXPA10,GO:0005576,CC,Extracellular region
EXPA10,GO:0009664,BP,Plant-type cell wall organization
XET4,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
XET4,GO:0005618,CC,Cell wall
XET4,GO:0010411,BP,Xyloglucan metabolic process
XET4,GO:0016762,MF,Xyloglucan:xyloglucosyl transferase activity
XET4,GO:0042546,BP,Cell wall biogenesis
XET4,GO:0048046,CC,Apoplast
LOC543627,GO:0005515,MF,Protein binding
BI-GST/GPX,GO:0004364,MF,Glutathione transferase activity
BI-GST/GPX,GO:0005737,CC,Cytoplasm
BI-GST/GPX,GO:0006749,BP,Glutathione metabolic process
zds,GO:0009507,CC,Chloroplast
zds,GO:0016117,BP,Carotenoid biosynthetic process
zds,GO:0016120,BP,Carotene biosynthetic process
zds,GO:0016719,MF,9;9'-di-cis-zeta-carotene desaturase activity
FALSIFLORA,GO:0003677,MF,DNA binding
FALSIFLORA,GO:0006355,BP,Regulation of DNA-templated transcription
LTC,GO:0004869,MF,Cysteine-type endopeptidase inhibitor activity
LOC543632,GO:0004869,MF,Cysteine-type endopeptidase inhibitor activity
PPCK1,GO:0004683,MF,Calcium/calmodulin-dependent protein kinase activity
PPCK1,GO:0005516,MF,Calmodulin binding
PPCK1,GO:0005524,MF,ATP binding
PPCK1,GO:0005634,CC,Nucleus
PPCK1,GO:0005737,CC,Cytoplasm
PPCK1,GO:0009931,MF,Calcium-dependent protein serine/threonine kinase activity
PPCK1,GO:0018105,BP,Peptidyl-serine phosphorylation
PPCK1,GO:0035556,BP,Intracellular signal transduction
PPCK1,GO:0046777,BP,Protein autophosphorylation
DDTFR10A,GO:0003677,MF,DNA binding
DDTFR10A,GO:0003700,MF,DNA-binding transcription factor activity
DDTFR10A,GO:0006355,BP,Regulation of DNA-templated transcription
DDTFR10A,GO:0009873,BP,Ethylene-activated signaling pathway
DDTFR18,GO:0015297,MF,Antiporter activity
DDTFR18,GO:0016020,CC,Membrane
DDTFR18,GO:0042910,MF,Xenobiotic transmembrane transporter activity
DDTFR18,GO:1990961,BP,Xenobiotic detoxification by transmembrane export across the plasma membrane
DDTFR10,GO:0003746,MF,Translation elongation factor activity
DDTFR10,GO:0005085,MF,Guanyl-nucleotide exchange factor activity
DDTFR10,GO:0005829,CC,Cytosol
DDTFR10,GO:0005853,CC,Eukaryotic translation elongation factor 1 complex
DDTFR10,GO:0006414,BP,Translational elongation
BR1,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
BR1,GO:0005618,CC,Cell wall
BR1,GO:0010411,BP,Xyloglucan metabolic process
BR1,GO:0016762,MF,Xyloglucan:xyloglucosyl transferase activity
BR1,GO:0042546,BP,Cell wall biogenesis
BR1,GO:0048046,CC,Apoplast
Hxk2,GO:0001678,BP,Intracellular glucose homeostasis
Hxk2,GO:0004340,MF,Glucokinase activity
Hxk2,GO:0005524,MF,ATP binding
Hxk2,GO:0005536,MF,D-glucose binding
Hxk2,GO:0005739,CC,Mitochondrion
Hxk2,GO:0005829,CC,Cytosol
Hxk2,GO:0006006,BP,Glucose metabolic process
Hxk2,GO:0006096,BP,Glycolytic process
Hxk2,GO:0008865,MF,Fructokinase activity
Hxk2,GO:0046835,BP,Carbohydrate phosphorylation
Hxk2,GO:0051156,BP,Glucose 6-phosphate metabolic process
LOC543639,GO:0004739,MF,Pyruvate dehydrogenase (acetyl-transferring) activity
LOC543639,GO:0006086,BP,Acetyl-CoA biosynthetic process from pyruvate
LOC543639,GO:0043231,CC,Intracellular membrane-bounded organelle
Aqp2,GO:0005773,CC,Vacuole
Aqp2,GO:0005886,CC,Plasma membrane
Aqp2,GO:0009414,BP,Response to water deprivation
Aqp2,GO:0009506,CC,Plasmodesma
Aqp2,GO:0015250,MF,Water channel activity
Aqp2,GO:0055085,BP,Transmembrane transport
LOC543641,GO:0004672,MF,Protein kinase activity
LOC543641,GO:0005515,MF,Protein binding
LOC543641,GO:0005524,MF,ATP binding
LOC543641,GO:0006468,BP,Protein phosphorylation
HPL,GO:0004497,MF,Monooxygenase activity
HPL,GO:0005506,MF,Iron ion binding
HPL,GO:0016125,BP,Sterol metabolic process
HPL,GO:0016705,MF,Oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen
HPL,GO:0020037,MF,Heme binding
Cpn21,GO:0005524,MF,ATP binding
Cpn21,GO:0005759,CC,Mitochondrial matrix
Cpn21,GO:0009507,CC,Chloroplast
Cpn21,GO:0044183,MF,Protein folding chaperone
Cpn21,GO:0046914,MF,Transition metal ion binding
Cpn21,GO:0051082,MF,Unfolded protein binding
Cpn21,GO:0051085,BP,Chaperone cofactor-dependent protein refolding
Cpn21,GO:0051087,MF,Protein-folding chaperone binding
Cpn21,GO:1901671,BP,Positive regulation of superoxide dismutase activity
TKR,GO:0003777,MF,Microtubule motor activity
TKR,GO:0005524,MF,ATP binding
TKR,GO:0007018,BP,Microtubule-based movement
TKR,GO:0008017,MF,Microtubule binding
LOC543645,GO:0005886,CC,Plasma membrane
LOC543645,GO:0009055,MF,Electron transfer activity
LOC543646,GO:0005886,CC,Plasma membrane
LOC543646,GO:0009055,MF,Electron transfer activity
POR2,GO:0016630,MF,Protochlorophyllide reductase activity
PDF1B,GO:0005739,CC,Mitochondrion
PDF1B,GO:0009507,CC,Chloroplast
PDF1B,GO:0018206,BP,Peptidyl-methionine modification
PDF1B,GO:0042586,MF,Peptide deformylase activity
NSY,GO:0016117,BP,Carotenoid biosynthetic process
NSY,GO:0016705,MF,Oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen
AO1,GO:0005506,MF,Iron ion binding
AO1,GO:0016491,MF,Oxidoreductase activity
AO1,GO:0051537,MF,2 iron; 2 sulfur cluster binding
AO1,GO:0071949,MF,FAD binding
TAO2,GO:0005506,MF,Iron ion binding
TAO2,GO:0016491,MF,Oxidoreductase activity
TAO2,GO:0051537,MF,2 iron; 2 sulfur cluster binding
TAO2,GO:0071949,MF,FAD binding
TAO3,GO:0005506,MF,Iron ion binding
TAO3,GO:0016491,MF,Oxidoreductase activity
TAO3,GO:0051537,MF,2 iron; 2 sulfur cluster binding
TAO3,GO:0071949,MF,FAD binding
eIF4E1,GO:0000340,MF,RNA 7-methylguanosine cap binding
eIF4E1,GO:0003743,MF,Translation initiation factor activity
eIF4E1,GO:0006413,BP,Translational initiation
eIF4E1,GO:0016281,CC,Eukaryotic translation initiation factor 4F complex
LOC543655,GO:0005778,CC,Peroxisomal membrane
LOC543655,GO:0016559,BP,Peroxisome fission
LOC543656,GO:0009058,BP,Biosynthetic process
LOC543656,GO:0012505,CC,Endomembrane system
LOC543656,GO:0016787,MF,Hydrolase activity
LOC543656,GO:0016844,MF,Strictosidine synthase activity
CITRX,GO:0009579,CC,Thylakoid
CITRX,GO:0009657,BP,Plastid organization
CITRX,GO:0015035,MF,Protein-disulfide reductase activity
CITRX,GO:0045454,BP,Cell redox homeostasis
ispE,GO:0005524,MF,ATP binding
ispE,GO:0009507,CC,Chloroplast
ispE,GO:0016114,BP,Terpenoid biosynthetic process
ispE,GO:0050515,MF,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
Ve1,GO:0005515,MF,Protein binding
LHA2,GO:0005524,MF,ATP binding
LHA2,GO:0005886,CC,Plasma membrane
LHA2,GO:0008553,MF,P-type proton-exporting transporter activity
LHA2,GO:0016887,MF,ATP hydrolysis activity
LHA2,GO:0051453,BP,Regulation of intracellular pH
LHA2,GO:0120029,BP,Proton export across plasma membrane
LOC543663,GO:0033178,CC,Proton-transporting two-sector ATPase complex; catalytic domain
LOC543663,GO:0046961,MF,Proton-transporting ATPase activity; rotational mechanism
LOC543663,GO:1902600,BP,Proton transmembrane transport
